County,Degree,Neighbor_1,Neighbor_2,Neighbor_3,Neighbor_4,Neighbor_5,Neighbor_6,Neighbor_7,Neighbor_8,Neighbor_9,Neighbor_10
Albany,5,Schenectady,Rensselaer,Greene,Schoharie,Saratoga,,,,,
Allegany,4,Steuben,Cattaraugus,Wyoming,Livingston,,,,,,
Bronx,3,New York,Queens,Westchester,,,,,,,
Broome,4,Tioga,Chenango,Delaware,Cortland,,,,,,
Cattaraugus,4,Allegany,Chautauqua,Erie,Wyoming,,,,,,
Cayuga,6,Onondaga,Oswego,Wayne,Seneca,Tompkins,Cortland,,,,
Chautauqua,2,Cattaraugus,Erie,,,,,,,,
Chemung,4,Steuben,Schuyler,Tioga,Tompkins,,,,,,
Chenango,5,Broome,Cortland,Delaware,Madison,Otsego,,,,,
Clinton,2,Franklin,Essex,,,,,,,,
Columbia,4,Rensselaer,Dutchess,Greene,Ulster,,,,,,
Cortland,7,Onondaga,Cayuga,Tompkins,Broome,Chenango,Madison,Tioga,,,
Delaware,7,Otsego,Chenango,Broome,Ulster,Sullivan,Greene,Schoharie,,,
Dutchess,4,Putnam,Columbia,Ulster,Orange,,,,,,
Erie,5,Niagara,Genesee,Wyoming,Cattaraugus,Chautauqua,,,,,
Essex,5,Clinton,Franklin,Hamilton,Warren,Washington,,,,,
Franklin,4,Clinton,Essex,Hamilton,St Lawrence,,,,,,
Fulton,4,Montgomery,Hamilton,Herkimer,Saratoga,,,,,,
Genesee,6,Erie,Wyoming,Livingston,Monroe,Orleans,Niagara,,,,
Greene,5,Albany,Columbia,Ulster,Delaware,Schoharie,,,,,
Hamilton,7,Fulton,Herkimer,St Lawrence,Franklin,Essex,Warren,Saratoga,,,
Herkimer,7,Oneida,Fulton,Hamilton,Montgomery,Otsego,Lewis,St Lawrence,,,
Jefferson,3,Lewis,St Lawrence,Oswego,,,,,,,
Kings,3,New York,Queens,Richmond,,,,,,,
Lewis,5,Jefferson,Oneida,Oswego,Herkimer,St Lawrence,,,,,
Livingston,6,Monroe,Genesee,Wyoming,Steuben,Ontario,Allegany,,,,
Madison,6,Oneida,Onondaga,Cortland,Chenango,Otsego,Oswego,,,,
Monroe,5,Orleans,Genesee,Livingston,Ontario,Wayne,,,,,
Montgomery,6,Fulton,Herkimer,Otsego,Schoharie,Schenectady,Saratoga,,,,
Nassau,2,Queens,Suffolk,,,,,,,,
New York,4,Bronx,Kings,Queens,Richmond,,,,,,
Niagara,3,Erie,Orleans,Genesee,,,,,,,
Oneida,5,Madison,Oswego,Lewis,Herkimer,Otsego,,,,,
Onondaga,4,Madison,Oswego,Cayuga,Cortland,,,,,,
Ontario,6,Monroe,Livingston,Steuben,Yates,Seneca,Wayne,,,,
Orange,5,Dutchess,Putnam,Rockland,Sullivan,Ulster,,,,,
Orleans,3,Niagara,Monroe,Genesee,,,,,,,
Oswego,6,Jefferson,Lewis,Oneida,Onondaga,Cayuga,Madison,,,,
Otsego,7,Delaware,Chenango,Madison,Oneida,Herkimer,Montgomery,Schoharie,,,
Putnam,3,Dutchess,Westchester,Orange,,,,,,,
Queens,5,Kings,New York,Bronx,Nassau,Suffolk,,,,,
Rensselaer,4,Albany,Columbia,Washington,Saratoga,,,,,,
Richmond,2,Kings,New York,,,,,,,,
Rockland,2,Orange,Westchester,,,,,,,,
St Lawrence,5,Jefferson,Lewis,Herkimer,Hamilton,Franklin,,,,,
Saratoga,8,Warren,Washington,Rensselaer,Albany,Schenectady,Montgomery,Fulton,Hamilton,,
Schenectady,4,Albany,Montgomery,Saratoga,Schoharie,,,,,,
Schoharie,6,Montgomery,Otsego,Delaware,Greene,Albany,Schenectady,,,,
Schuyler,5,Steuben,Chemung,Tompkins,Yates,Seneca,,,,,
Seneca,6,Ontario,Yates,Schuyler,Tompkins,Cayuga,Wayne,,,,
Steuben,6,Livingston,Allegany,Chemung,Schuyler,Yates,Ontario,,,,
Suffolk,2,Nassau,Queens,,,,,,,,
Sullivan,3,Orange,Ulster,Delaware,,,,,,,
Tioga,4,Broome,Chemung,Tompkins,Cortland,,,,,,
Tompkins,6,Seneca,Schuyler,Chemung,Tioga,Cortland,Cayuga,,,,
Ulster,6,Dutchess,Columbia,Greene,Delaware,Sullivan,Orange,,,,
Warren,4,Washington,Saratoga,Hamilton,Essex,,,,,,
Washington,4,Warren,Saratoga,Rensselaer,Essex,,,,,,
Wayne,4,Monroe,Ontario,Seneca,Cayuga,,,,,,
Westchester,3,Bronx,Putnam,Rockland,,,,,,,
Wyoming,5,Erie,Genesee,Livingston,Allegany,Cattaraugus,,,,,
Yates,4,Steuben,Schuyler,Seneca,Ontario,,,,,,
